09-April,73,99.0,143.0,55,107.0,104.0,93.0
10-April,90,139.0,123.0,25,97.0,132.0,124.0
11-April,123,107.0,139.0,25,125.0,123.0,124.0
12-April,110,80.0,129.0,24,130.0,73.0,107.0
13-April,145,68.0,104.0,28,144.0,90.0,102.0
14-April,136,81.0,115.0,37,151.0,96.0,119.0
15-April,143,69.0,116.0,39,132.0,111.0,94.0
16-April,67,88.0,116.0,34,100.0,81.0,100.0
17-April,131,139.0,125.0,37,108.0,85.0,120.0
18-April,157,114.0,142.0,45,126.0,104.0,132.0
19-April,130,157.0,137.0,54,160.0,135.0,121.0
20-April,112,145.0,117.0,49,160.0,108.0,114.0
21-April,152,131.0,112.0,39,155.0,122.0,107.0
22-April,138,131.0,105.0,39,134.0,103.0,88.0
23-April,112,100.0,167.0,41,100.0,110.0,76.0
24-April,105,145.0,135.0,43,98.0,108.0,106.0
25-April,110,132.0,145.0,64,127.0,132.0,126.0
26-April,125,126.0,125.0,35,125.0,126.0,94.0
27-April,124,130.0,83.0,44,119.0,123.0,135.0
28-April,123,129.0,98.0,44,125.0,125.0,107.0
29-April,125,71.0,75.0,59,125.0,97.0,74.0
30-April,63,66.0,83.0,51,113.0,100.0,82.0
01-May,86,97.0,94.0,73,97.0,115.0,73.0
02-May,116,90.0,102.0,60,100.0,130.0,98.0
03-May,125,125.0,139.0,62,132.0,157.0,107.0
04-May,141,164.0,107.0,47,118.0,123.0,135.0
05-May,140,118.0,115.0,48,99.0,151.0,131.0
06-May,118,108.0,130.0,62,122.0,119.0,108.0
07-May,110,126.0,135.0,62,119.0,101.0,104.0
08-May,80,178.0,117.0,61,111.0,108.0,144.0
09-May,123,136.0,108.0,57,106.0,130.0,115.0
10-May,116,161.0,151.0,48,132.0,108.0,159.0
11-May,129,130.0,120.0,59,138.0,133.0,102.0
12-May,126,135.0,99.0,57,105.0,135.0,117.0
13-May,120,118.0,122.0,56,142.0,130.0,79.0
14-May,87,108.0,113.0,42,92.0,122.0,106.0
15-May,99,106.0,109.0,51,92.0,119.0,101.0
16-May,76,146.0,127.0,47,79.0,112.0,133.0
17-May,110,126.0,138.0,58,172.0,108.0,87.0
18-May,117,137.0,115.0,69,118.0,119.0,100.0
19-May,121,136.0,106.0,69,99.0,120.0,109.0
20-May,120,118.0,122.0,76,130.0,138.0,95.0
21-May,93,107.0,125.0,78,125.0,112.0,82.0
22-May,176,135.0,164.0,80,118.0,92.0,112.0
23-May,130,129.0,117.0,58,76.0,160.0,99.0
24-May,138,128.0,119.0,52,109.0,141.0,99.0
25-May,129,139.0,81.0,62,110.0,124.0,117.0
26-May,104,125.0,114.0,86,102.0,150.0,102.0
27-May,130,143.0,116.0,88,123.0,122.0,71.0
28-May,96,140.0,117.0,88,133.0,75.0,101.0
29-May,104,166.0,145.0,73,112.0,89.0,111.0
30-May,152,147.0,115.0,79,100.0,135.0,94.0
31-May,155,153.0,169.0,58,135.0,117.0,119.0
01-June,129,180.0,108.0,84,104.0,139.0,111.0
02-June,123,151.0,80.0,92,123.0,140.0,106.0
03-June,128,110.0,117.0,90,118.0,132.0,95.0
04-June,93,122.0,152.0,79,104.0,92.0,117.0
05-June,105,145.0,130.0,80,94.0,74.0,116.0
06-June,142,146.0,108.0,73,80.0,136.0,120.0
07-June,125,142.0,120.0,62,143.0,137.0,89.0
08-June,133,153.0,94.0,112,130.0,129.0,96.0
09-June,140,136.0,82.0,118,136.0,149.0,93.0
10-June,130,93.0,109.0,122,105.0,133.0,106.0
11-June,71,104.0,149.0,99,92.0,99.0,95.0
12-June,70,149.0,133.0,80,76.0,92.0,108.0
13-June,140,133.0,132.0,86,79.0,120.0,109.0
14-June,123,169.0,142.0,71,149.0,130.0,131.0
15-June,127,126.0,111.0,116,102.0,142.0,125.0
16-June,128,137.0,93.0,119,92.0,147.0,124.0
17-June,117,102.0,78.0,112,85.0,127.0,81.0
18-June,46,85.0,132.0,129,100.0,91.0,90.0
19-June,81,125.0,126.0,115,82.0,75.0,107.0
20-June,127,150.0,157.0,72,129.0,122.0,121.0
21-June,121,119.0,129.0,85,102.0,106.0,97.0
22-June,116,116.0,91.0,94,110.0,124.0,104.0
23-June,116,107.0,76.0,102,113.0,100.0,129.0
24-June,112,78.0,67.0,126,111.0,80.0,75.0
25-June,88,92.0,114.0,115,97.0,84.0,74.0
26-June,63,144.0,111.0,112,68.0,104.0,109.0
27-June,105,134.0,126.0,56,113.0,147.0,105.0
28-June,117,127.0,130.0,85,122.0,134.0,146.0
29-June,127,125.0,123.0,110,121.0,95.0,137.0
30-June,125,146.0,77.0,116,92.0,68.0,112.0
01-July,105,78.0,70.0,107,115.0,102.0,99.0
02-July,65,106.0,124.0,124,99.0,81.0,78.0
03-July,59,123.0,100.0,108,67.0,82.0,91.0
04-July,99,125.0,116.0,52,64.0,122.0,94.0
05-July,114,118.0,109.0,49,94.0,135.0,76.0
06-July,104,125.0,77.0,105,76.0,109.0,95.0
07-July,95,110.0,56.0,116,113.0,119.0,87.0
08-July,113,75.0,56.0,102,109.0,98.0,73.0
09-July,55,77.0,120.0,117,93.0,72.0,63.0
10-July,58,104.0,90.0,85,74.0,49.0,104.0
11-July,90,110.0,107.0,85,56.0,97.0,64.0
12-July,100,78.0,112.0,78,76.0,83.0,114.0
13-July,108,110.0,106.0,81,111.0,85.0,74.0
14-July,96,130.0,63.0,83,75.0,103.0,75.0
15-July,93,72.0,52.0,98,108.0,88.0,61.0
16-July,72,81.0,105.0,84,86.0,70.0,82.0
17-July,59,92.0,97.0,77,48.0,76.0,74.0
18-July,92,101.0,83.0,58,57.0,89.0,73.0
19-July,78,106.0,93.0,63,91.0,96.0,81.0
20-July,85,103.0,81.0,85,96.0,82.0,78.0
21-July,97,91.0,65.0,121,112.0,94.0,72.0
22-July,73,60.0,59.0,88,116.0,74.0,59.0
23-July,48,72.0,122.0,97,92.0,61.0,72.0
24-July,46,98.0,82.0,80,59.0,63.0,76.0
25-July,60,90.0,80.0,67,50.0,75.0,100.0
26-July,95,117.0,91.0,59,113.0,84.0,90.0
27-July,92,86.0,84.0,101,86.0,106.0,79.0
28-July,76,112.0,74.0,58,88.0,97.0,75.0
29-July,82,78.0,73.0,69,84.0,105.0,45.0
30-July,65,91.0,96.0,78,89.0,63.0,67.0
31-July,57,94.0,87.0,84,74.0,77.0,82.0
01-August,98,109.0,96.0,55,70.0,82.0,95.0
02-August,80,97.0,103.0,39,82.0,85.0,89.0
03-August,81,104.0,81.0,70,87.0,99.0,77.0
04-August,84,101.0,56.0,57,86.0,99.0,80.0
05-August,85,68.0,71.0,82,105.0,78.0,64.0
06-August,57,74.0,111.0,98,81.0,61.0,62.0
07-August,50,113.0,78.0,75,48.0,54.0,90.0
08-August,81,106.0,77.0,53,57.0,62.0,86.0
09-August,74,93.0,113.0,63,86.0,106.0,97.0
10-August,114,94.0,86.0,73,86.0,89.0,75.0
11-August,90,101.0,58.0,74,67.0,110.0,73.0
12-August,82,60.0,42.0,90,110.0,66.0,68.0
13-August,38,81.0,78.0,99,77.0,64.0,71.0
14-August,69,69.0,84.0,77,79.0,58.0,62.0
15-August,63,77.0,74.0,64,54.0,51.0,77.0
16-August,66,103.0,65.0,63,78.0,88.0,84.0
17-August,72,94.0,70.0,70,94.0,73.0,75.0
18-August,68,87.0,45.0,93,79.0,98.0,97.0
19-August,82,62.0,57.0,80,70.0,90.0,45.0
20-August,56,78.0,78.0,87,81.0,63.0,69.0
21-August,78,88.0,82.0,68,59.0,54.0,73.0
22-August,84,83.0,94.0,60,54.0,81.0,71.0
23-August,96,85.0,87.0,57,94.0,73.0,77.0
24-August,86,84.0,72.0,97,94.0,83.0,99.0
25-August,96,90.0,48.0,84,89.0,97.0,87.0
26-August,92,65.0,68.0,83,89.0,88.0,54.0
